,Date,AAPL,GOOGL,JPM,MSFT,TSLA,SMA_20,SMA_50,Buy,Sell
304,2023-03-21,157.30470275878906,104.20130920410156,122.73729705810547,268.5584716796875,197.5800018310547,149.3036682128906,145.2983770751953,,
305,2023-03-22,155.87266540527344,102.66191864013672,119.56896209716797,267.096923828125,191.14999389648438,149.74413681030273,145.84903045654298,,
306,2023-03-23,156.95904541015625,104.87664794921875,119.24932098388672,272.3645324707031,192.22000122070312,150.21472778320313,146.40997283935548,,
307,2023-03-24,158.26266479492188,104.71774291992188,117.43482971191406,275.218994140625,190.41000366210938,150.8833320617676,146.94255462646484,,
308,2023-03-27,156.31707763671875,101.75817108154297,120.80057525634766,271.10888671875,191.80999755859375,151.3949073791504,147.437802734375,,
309,2023-03-28,155.6949005126953,100.33795166015625,121.16725158691406,269.9808044433594,189.19000244140625,151.90055770874022,147.8939828491211,,
310,2023-03-29,158.77622985839844,100.69548034667969,121.41168212890625,275.1601257324219,193.8800048828125,152.6639717102051,148.3885174560547,,
311,2023-03-30,160.34652709960938,100.19892120361328,121.0450210571289,278.6325988769531,195.27999877929688,153.47627334594728,148.92885528564454,,
312,2023-03-31,162.85498046875,103.01946258544922,122.51164245605469,282.8015441894531,207.4600067138672,154.16117172241212,149.5181790161133,,
313,2023-04-03,164.1092529296875,103.64514923095703,122.37064361572266,281.7519836425781,194.77000427246094,154.77052001953126,150.0813122558594,,
314,2023-04-04,163.57595825195312,104.00267791748047,120.73477172851562,281.7028503417969,192.5800018310547,155.46332015991212,150.56987915039062,,
315,2023-04-05,161.72914123535156,103.75439453125,120.914794921875,278.9170227050781,185.52000427246094,156.00106887817384,150.99350524902343,,
316,2023-04-06,162.61798095703125,107.67733764648438,120.78213500976562,286.03857421875,185.05999755859375,156.6958450317383,151.44812225341798,,
317,2023-04-10,160.0205841064453,105.71089935302734,121.18009185791016,283.8708190917969,184.50999450683594,157.36395492553712,151.8093746948242,,
318,2023-04-11,158.80584716796875,104.62837219238281,121.77705383300781,277.43585205078125,186.7899932861328,157.87404861450196,152.10748077392577,,
319,2023-04-12,158.1145477294922,103.92322540283203,121.75810241699219,278.0832824707031,180.5399932861328,158.24489212036133,152.4495462036133,,158.1145477294922
320,2023-04-13,163.50682067871094,106.69412231445312,122.222412109375,284.3121643066406,185.89999389648438,158.86559677124023,152.87401580810547,163.50682067871094,
321,2023-04-14,163.1611785888672,108.12425231933594,131.45138549804688,280.68280029296875,185.0,159.32779388427736,153.2690899658203,,
322,2023-04-17,163.18089294433594,105.2441177368164,132.49366760253906,283.2920227050781,187.0399932861328,159.83295059204102,153.55825653076172,,
323,2023-04-18,164.40553283691406,103.7841796875,133.98126220703125,282.8701477050781,184.30999755859375,160.28082656860352,153.79934020996095,,
324,2023-04-19,165.55113220214844,103.46639251708984,133.81072998046875,282.94873046875,180.58999633789062,160.6931480407715,154.11796508789064,,
325,2023-04-20,164.58328247070312,104.56878662109375,133.4222412109375,280.6533508300781,162.99000549316406,161.12867889404296,154.3596453857422,,
326,2023-04-21,162.9735107421875,104.6879653930664,133.16639709472656,280.30999755859375,165.0800018310547,161.42940216064454,154.62297119140624,,
327,2023-04-24,163.2796630859375,105.2441177368164,133.346435546875,276.3961181640625,162.5500030517578,161.6802520751953,154.91312774658203,,
328,2023-04-25,161.739013671875,103.13864135742188,130.44699096679688,270.1672058105469,160.6699981689453,161.95134887695312,155.16516326904298,,161.739013671875
329,2023-04-26,161.72914123535156,102.9996109008789,128.13497924804688,289.7367248535156,153.75,162.25306091308593,155.36090545654298,,
330,2023-04-27,166.3214569091797,106.85303497314453,129.85952758789062,299.01629638671875,160.19000244140625,162.630322265625,155.6613327026367,166.3214569091797,
331,2023-04-28,167.57571411132812,106.60472869873047,130.98707580566406,301.3999328613281,164.30999755859375,162.99178161621094,155.94477325439453,,
332,2023-05-01,167.48684692382812,106.46568298339844,133.79177856445312,299.73236083984375,161.8300018310547,163.22337493896484,156.25843475341796,,
333,2023-05-02,166.4498748779297,104.59856414794922,131.63140869140625,299.5852355957031,160.30999755859375,163.34040603637695,156.57426910400392,,
334,2023-05-03,165.37338256835938,104.6879653930664,128.8456268310547,298.594482421875,160.61000061035156,163.43027725219727,156.94896423339844,,
335,2023-05-04,163.7339630126953,103.97289276123047,127.08322143554688,299.5852355957031,161.1999969482422,163.53051834106446,157.28237762451172,,
336,2023-05-05,171.41748046875,104.84686279296875,129.56578063964844,304.7253112792969,170.05999755859375,163.9704933166504,157.75978271484374,,
