Price,Close,Close,Close,High,High,High,Low,Low,Low,Open,Open,Open,Volume,Volume,Volume
Ticker,AAPL,MSFT,TSLA,AAPL,MSFT,TSLA,AAPL,MSFT,TSLA,AAPL,MSFT,TSLA,AAPL,MSFT,TSLA
Date,,,,,,,,,,,,,,,
2020-03-04,73.28925323486328,162.68023681640625,49.96666717529297,73.44903118653338,162.82330947641486,51.10133361816406,70.9628058782761,157.97771647661318,48.31533432006836,71.7641114774827,160.71529466057675,50.930667877197266,219178400,49814400,225735000
2020-03-05,70.9119644165039,158.59774780273438,48.30266571044922,72.51699133415363,162.98547961930032,49.71666717529297,70.54641152199336,158.0445092042918,47.871334075927734,71.54138326049582,158.38789817730108,48.2513313293457,187572800,47817300,162790500
2020-03-06,69.97025299072266,154.11463928222656,46.89866638183594,70.403589845972,155.58357224645644,47.133331298828125,68.08198145661343,148.8016502950517,45.61800003051758,68.26838538116881,155.10664388012614,46.0,226176800,72821100,189943500
2020-03-09,64.4361572265625,143.6698760986328,40.53333282470703,67.32182373363995,150.4708782982367,44.20000076293945,63.668739886760385,143.07848966551825,40.33333206176758,63.8503047343462,144.03234626328836,40.35933303833008,286744800,70419300,256105500
2020-03-10,69.07693481445312,153.49462890625,43.02199935913086,69.3432313409943,153.5995537326078,44.53333282470703,65.21081458081115,145.5394669777741,40.53333282470703,67.09183070037263,150.86198947404407,43.96200180053711,285290000,65354400,233916000
2020-03-11,66.67784881591797,146.54098510742188,42.28200149536133,68.07953100256213,150.423173662336,43.571998596191406,65.8135986798909,144.1754104054555,40.866668701171875,67.15234343249551,149.87948300219972,42.68000030517578,255598800,56371600,199837500
2020-03-12,60.09312057495117,132.643310546875,37.369998931884766,65.36334381218688,146.38838910499453,39.633331298828125,60.03744172378647,132.18546340559118,36.41666793823242,61.95960879581329,138.59538160235746,38.72600173950195,418474000,93226400,283636500
2020-03-13,67.29277038574219,151.50103759765625,36.44133377075195,67.76484191547881,154.43891751850273,40.50466537475586,61.235766409905956,134.23622821911493,33.46666717529297,64.12628289000264,140.6938411385518,39.66666793823242,370732000,92727400,339604500
2020-03-16,58.635765075683594,129.17124938964844,29.67133331298828,62.7197589173465,142.45847840490325,32.9913330078125,58.10075235573811,128.77063139409694,29.47800064086914,58.572820229839216,133.53991403832273,31.299999237060547,322423600,87905900,307342500
2020-03-17,61.213985443115234,139.8068084716797,28.68000030517578,62.36389249089527,140.69388837483754,31.456666946411133,57.71341343349159,128.77067749561402,26.399999618530273,59.91882134064479,133.53996184730343,29.333999633789062,324056000,81059800,359919000
